date,start_time,end_time,duration,total_pkts,ave_rate,std_rate
2007-10-18,14:00:00,14:15:01,900.14,30668449,191.84,35.57
2007-10-19,14:00:00,14:15:01,900.13,29578693,194.1,27.08
2007-10-20,14:00:01,14:15:00,899.36,22739211,157.84,30.54
2007-10-21,14:00:01,14:15:00,899.6,18948993,111.98,24.98
2007-10-22,14:00:01,14:15:00,899.05,30527721,200.06,26.39
2007-10-23,14:00:01,14:15:00,899.11,30574227,191.09,37.18
2007-10-24,14:00:01,14:15:01,900.07,29203568,183.1,35.78
2007-10-25,14:00:01,14:15:01,900.09,33697273,230.4,28.6
2007-10-26,14:00:00,14:15:00,899.63,29616221,188.55,44.53
2007-10-27,14:00:00,14:15:01,900.55,16737433,107.64,32.8
2007-10-28,,,,,,
2007-10-29,,,,,,
2007-10-30,,,,,,
2007-10-31,,,,,,
2007-11-1,14:00:01,14:15:00,899.53,29531834,175.59,36.4
2007-11-2,14:00:01,14:15:00,899.68,25354338,147.83,22.41
2007-11-3,14:00:01,14:15:00,899.03,17559504,97.11,12.5
2007-11-4,14:00:01,14:15:00,898.98,16176551,88.01,10.85
2007-11-5,14:00:01,14:15:01,900,28900346,179.79,24.05
2007-11-6,14:00:00,14:15:01,900.8,28493994,169.68,24.97
2007-11-7,14:00:01,14:15:01,899.81,33146629,200.42,20.23
2007-11-8,14:00:01,14:15:01,900.13,29198970,166.86,24.97
2007-11-9,14:00:01,14:15:00,899.65,27198978,166.87,25.3
2007-11-10,14:00:01,14:15:00,899.58,22617072,143.26,39.26
2007-11-11,14:00:01,14:15:01,900.25,18661241,122.95,20.18
2007-11-12,14:00:01,14:15:01,900.19,29884325,179.02,27.2
2007-11-13,14:00:01,14:15:01,899.85,28745766,184.35,36.86
2007-11-14,14:00:01,14:15:01,900.1,28361117,171.58,38.14
2007-11-15,14:00:01,14:15:01,900.04,30883940,198.05,29.96
2007-11-16,14:00:01,14:15:01,899.61,23832238,147.01,23.45
2007-11-17,14:00:01,14:15:00,899.43,17705439,107.37,16.2
2007-11-18,14:00:00,14:15:01,900.41,13488877,80.3,11.23
2007-11-19,14:00:01,14:15:00,899.91,30713592,185.56,28.1
2007-11-20,14:00:00,14:15:00,899.67,26045888,163.98,41.93
2007-11-21,14:00:01,14:15:00,899.16,25582558,155.55,18.91
2007-11-22,14:00:01,14:15:00,899.29,26064822,163.52,29.87
2007-11-23,14:00:00,14:15:01,900.65,18647627,118.41,17.1
2007-11-24,14:00:01,14:15:01,900.36,18576982,105.71,12.39
2007-11-25,14:00:00,14:15:01,900.12,16975085,105.12,24.83
2007-11-26,14:00:01,14:15:00,899.42,24087050,143.98,27.01
2007-11-27,14:00:00,14:15:01,900.79,27458728,168.22,17.82
2007-11-28,14:00:01,14:15:01,899.89,30285155,186.53,32.43
2007-11-29,14:00:01,14:15:00,899.75,33321912,204.29,26.76
2007-11-30,14:00:01,14:15:01,899.93,23887076,154.49,18.83
2007-12-1,14:00:01,14:15:00,899.53,21366822,138.93,24.01
2007-12-2,14:00:00,14:15:00,900.46,13226030,82.71,11.51
2007-12-3,14:00:00,14:15:01,900.62,26137819,157.89,19.93
2007-12-4,14:00:00,14:15:01,900.15,27256860,178.95,21.59
2007-12-5,14:00:01,14:15:00,899.52,25318665,156.27,17.61
2007-12-6,14:00:00,14:15:01,900.5,29603845,177.57,25.84
2007-12-7,14:00:01,14:15:01,899.52,23665254,150.74,24.33
2007-12-8,14:00:01,14:15:01,900.01,20897790,136.07,21.55
2007-12-9,14:00:00,14:15:01,900.51,16922513,105.38,9.85
2007-12-10,14:00:01,14:15:00,899.62,27659679,170.68,20.34
2007-12-11,14:00:01,14:15:00,899.53,29539976,194.68,24.11
2007-12-12,14:00:00,14:15:00,899.89,26430776,163.98,20.45
2007-12-13,14:00:01,14:15:01,900.07,26632729,166.06,22.11
2007-12-14,14:00:01,14:15:00,899.89,23454110,139.62,23.19
2007-12-15,14:00:00,14:15:00,899.97,18469883,111.71,14.91
2007-12-16,14:00:01,14:15:01,900.01,17760312,110.38,19.45
2007-12-17,14:00:01,14:15:00,899.47,26237307,156.59,19.85
2007-12-18,14:00:00,14:15:01,900.55,19020099,118.88,15.6
2007-12-19,14:00:01,14:15:01,900.19,18181216,104.12,17.76
2007-12-20,14:00:00,14:15:00,899.75,21334875,133.26,20.24
2007-12-21,14:00:00,14:15:01,900.26,18836817,114.03,22.32
2007-12-22,14:00:00,14:15:01,900.99,15509536,88.56,13.42
2007-12-23,14:00:00,14:15:00,900.12,11991488,53.46,8.41
2007-12-24,14:00:00,14:15:01,900.53,12802476,67.9,16.34
2007-12-25,14:00:00,14:15:01,900.82,19756574,120.23,26.83
2007-12-26,14:00:01,14:15:01,899.83,17759961,91.55,16.4
2007-12-27,14:00:00,14:15:00,900.02,16050778,82.41,15.49
2007-12-28,14:00:00,14:15:01,900.41,12595276,71.07,13.27
2007-12-29,14:00:01,14:15:01,899.6,13440027,64.5,8.88
2007-12-30,14:00:00,14:15:00,900.08,12247129,57.89,10.08
2007-12-31,,,,,,
2008-1-1,14:00:00,14:15:00,899.71,11961250,46.87,10.29
2008-1-2,14:00:00,14:15:01,900.22,12570812,56.34,7.2
2008-1-3,14:00:00,14:15:00,900.01,11535155,49.95,8.72
2008-1-4,14:00:00,14:15:01,900.31,16034742,93.03,14.25
2008-1-5,14:00:00,14:15:00,900.29,15323947,61.56,11.67
2008-1-6,14:00:01,14:15:01,899.91,14544628,69.34,11.29
2008-1-7,14:00:00,14:15:00,899.97,22413087,142.69,26.89
2008-1-8,14:00:01,14:15:00,899.18,21604863,127.07,23.49
2008-1-9,14:00:01,14:15:00,899.25,23540567,145.94,23.77
2008-1-10,14:00:00,14:15:01,900.47,19874064,94.1,25.8
2008-1-11,14:00:01,14:15:01,899.92,24607573,135.55,23.43
2008-1-12,14:00:00,14:15:01,900.29,21748022,99.84,19.8
2008-1-13,14:00:00,14:15:00,899.74,18655289,63.77,8.71
2008-1-14,14:00:01,14:15:00,899.12,18374657,81.63,19.98
2008-1-15,14:00:00,14:15:00,899.8,28019827,144.31,20.02
2008-1-16,14:00:01,14:15:00,899.83,24925682,142.53,29.04
2008-1-17,14:00:01,14:15:00,899.59,28433190,157.51,26.68
2008-1-18,14:00:01,14:15:00,899.59,24600616,132.72,27.43
2008-1-19,14:00:00,14:15:00,900.11,21021810,108.13,28.41
2008-1-20,14:00:00,14:15:00,900.02,23695198,99.41,13.95
2008-1-21,14:00:00,14:15:01,900.5,28243542,135.69,23.54
2008-1-22,14:00:01,14:15:00,899.73,24809779,120.92,20.06
2008-1-23,14:00:00,14:15:00,900.07,23721593,116.17,19.42
2008-1-24,14:00:01,14:15:01,899.85,28146857,128.09,22.1
2008-1-25,14:00:01,14:15:01,899.93,25561109,155.82,33.8
2008-1-26,14:00:01,14:15:00,899.3,15665963,87.96,18.34
2008-1-27,14:00:01,14:15:01,899.89,12823134,63.33,11.06
2008-1-28,14:00:00,14:15:00,900.04,23395867,146.85,25.79
2008-1-29,14:00:01,14:15:01,900.23,19758325,123.23,22.11
2008-1-30,14:00:00,14:15:01,900.65,19759682,109.78,17.01
2008-1-31,14:00:01,14:15:00,899.86,23170134,135.09,30.52
2008-2-1,14:00:00,14:15:00,900.11,19637085,110.54,21.38
2008-2-2,14:00:01,14:15:01,900.07,15145282,87.4,15.65
2008-2-3,14:00:00,14:15:00,900.1,12185625,69.97,29.35
2008-2-4,14:00:00,14:15:01,900.35,16079780,90.05,27.26
2008-2-5,14:00:01,14:15:00,899.62,18010804,102.75,18.95
2008-2-6,14:00:01,14:15:01,900.03,17762092,114.01,25.28
2008-2-7,14:00:00,14:15:01,900.77,15015476,99.53,28.69
2008-2-8,14:00:01,14:15:01,900.19,20299275,142.98,31.48
2008-2-9,14:00:00,14:15:00,900.43,13411978,77.73,14.21
