dataset,algorithm,quantity,rmse,train_time,predict_time,n_ins,n_outs,n_filters,n_kernels,n_epochs,n_batch,n_diff,res_sizes,n_leaking_rate,spectral_rads,n_nodes,p_params,d_params,q_params,t_params,P_params,D_params,Q_params,m_params
shortterm,cnn,datarate,14.66811776,2.306521177,0.709918976,20,1,64,3,50,20,96,,,,,,,,,,,,
shortterm,cnn,datarate,14.23750932,2.207949162,0.777959824,20,1,64,3,50,30,96,,,,,,,,,,,,
shortterm,cnn,datarate,14.35991695,2.346698046,0.743331909,20,1,64,3,50,50,96,,,,,,,,,,,,
shortterm,cnn,datarate,14.73830174,2.073611975,0.770612001,20,1,64,5,10,10,96,,,,,,,,,,,,
shortterm,cnn,datarate,16.00340929,2.037173986,0.778069019,20,1,64,5,10,20,96,,,,,,,,,,,,
shortterm,cnn,datarate,15.48802588,2.035251141,0.819334984,20,1,64,5,10,30,96,,,,,,,,,,,,
shortterm,cnn,datarate,15.14034703,2.03968811,0.826966047,20,1,64,5,10,50,96,,,,,,,,,,,,
shortterm,cnn,datarate,14.13570154,2.389486074,0.826591969,20,1,64,5,20,10,96,,,,,,,,,,,,
shortterm,cnn,datarate,14.83386861,2.276211977,0.860918045,20,1,64,5,20,20,96,,,,,,,,,,,,
shortterm,cnn,datarate,14.30758453,2.258285046,0.859743118,20,1,64,5,20,30,96,,,,,,,,,,,,
shortterm,cnn,datarate,15.16028079,2.268321991,0.879314184,20,1,64,5,20,50,96,,,,,,,,,,,,
shortterm,cnn,datarate,14.62814792,3.139899015,0.891577005,20,1,64,5,50,10,96,,,,,,,,,,,,
shortterm,cnn,datarate,14.54724953,2.826009035,0.915305853,20,1,64,5,50,20,96,,,,,,,,,,,,
shortterm,cnn,datarate,15.11338009,2.699871063,0.966941118,20,1,64,5,50,30,96,,,,,,,,,,,,
shortterm,cnn,datarate,14.65219668,2.600287914,0.972545862,20,1,64,5,50,50,96,,,,,,,,,,,,
shortterm,cnn,datarate,17.54346348,2.535339117,0.995713949,50,1,64,3,10,10,96,,,,,,,,,,,,
shortterm,cnn,datarate,15.70976232,2.90377903,0.998580933,50,1,64,3,10,20,96,,,,,,,,,,,,
shortterm,cnn,datarate,15.75348453,2.54271698,1.049384117,50,1,64,3,10,30,96,,,,,,,,,,,,
shortterm,cnn,datarate,15.65145253,2.574775934,1.026921988,50,1,64,3,10,50,96,,,,,,,,,,,,
shortterm,cnn,datarate,17.5469654,2.957143068,1.053642035,50,1,64,3,20,10,96,,,,,,,,,,,,
shortterm,cnn,datarate,16.62649788,2.821645021,1.061668158,50,1,64,3,20,20,96,,,,,,,,,,,,
